smarthome_id	VendorName	Vendor Websites	Policy Link On Website
1	1home	https://www.1home.io/	https://www.1home.io/legal/privacy-policy/#page-2
2	2gig	https://www.2gig.com/	None
3	foscam	https://www.foscam.com/	https://www.foscam.com/company/Privacy-Notice.html
4	goabode	https://goabode.com/	https://help.goabode.com/hc/en-us/articles/360000569911-abode-Privacy-Policy
5	accentronix	https://www.accentronix.co.za/	https://www.accentronix.co.za/privacy-policy/
6	adssecurity	https://adssecurity.com/home-automation/	https://adssecurity.com/legal#privacy-policy
7	adt	https://www.adt.com/	https://www.adt.com/about-adt/legal/privacy-policy
8	adurosmart	https://adurosmart.com/	https://adurosmart.com/privacy-policy/
9	aeg	https://www.aeg.com/	https://www.aeg.co.uk/overlays/data-privacy-statement/
10	aegool	https://www.aegool.com/	None
11	aeotec	https://aeotec.com/	https://aeotec.com/legal
12	aeotron	https://aeotron.com/	https://aeotron.com/privacy/
13	ai-sync	https://www.ai-sync.com/	https://aisync.apps.exosite.io/#/legal
14	airlive	https://www.airlive.com/	https://cloud.airlive.com/#/privacy
15	airly	https://airly.eu/	https://airly.eu/docs/pp-en.pdf
16	airpatrol	https://www.airpatrol.eu/	https://www.airpatrol.eu/privacy-policy/
17	airthings	https://www.airthings.com/en/	https://www.airthings.com/en/privacy-notice
18	airzoneusa	http://www.airzoneusa.com/	http://www.airzoneusa.com/privacy-policy/
19	alarmgrid	https://www.alarmgrid.com/	None
20	alarm	https://www.alarm.com/	https://www.alarm.com/legal/privacy
21	alcwireless	https://www.alcwireless.com/	None
22	alcidae	https://www.alcidae.com/	https://www.alcidae.com/pages/privacy-statement
23	alert360	https://www.alert360.com/smart-home-automation/	https://www.alert360.com/privacy-cookie-policy/
24	alfawise	https://www.alfawise.com/	https://www.alfawise.com/pages/privacy-policy
25	alfred	https://alfred.camera/	https://alfred.camera/forum/t/privacy-policy-alfred-labs-inc/1311
26	alistetechnologies	https://www.alistetechnologies.com/	None
27	securifi	https://www.securifi.com/almond	https://www.securifi.com/privacy-policy
28	alteclansing	http://alteclansing.com/	None
29	alula	https://alula.com/	None
30	szamake	http://szamake.com/	None
31	amazon	https://www.amazon.com/	https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496&ref_=footer_privacy
32	ambiclimate	https://www.ambiclimate.com/en/	http://static.ambiclimate.com/mobile_app-privacy_policy/
33	amikohome	https://www.amikohome.com/	https://www.iubenda.com/privacy-policy/8131574/full-legal
34	smog	http://smog.ampio.pl/	None
35	anekentech	https://www.anekentech.com/	None
36	meetangee	https://www.meetangee.com/	https://www.meetangee.com/legal/
37	angelcam	https://www.angelcam.com/	https://www.angelcam.com/privacy/
38	ankeesmart	http://www.ankeesmart.com/	http://www.ankeesmart.com/privacy-policy.html
39	ankuoo	https://www.ankuoo.com/	https://www.ankuoo.com/privacy/
40	annke	https://www.annke.com/	https://www.annke.com/pages/privacy-policy
41	anoopsyche	https://www.anoopsyche.com/	None
42	antarsmarthomes	https://www.antarsmarthomes.com/	https://www.antarsmarthomes.com/privacy-policy.php
43	anyware	https://anyware.solutions/	None
44	apilio	https://apilio.com/	https://apilio.com/privacy-policy/
45	myappkettle	https://www.myappkettle.com/	https://www.myappkettle.com/copy-of-legal-compliance
46	aprilaire	https://www.aprilaire.com/	https://www.aprilaire.com/aprilaire-privacy-policy
47	aqara	https://www.aqara.com/us/home.html	https://www.aqara.com/us/privacy.html
48	aquanta	https://aquanta.io/	https://aquanta.io/privacy-policy
49	arest	https://arest.io/	None
50	arlo	https://www.arlo.com/en-us/default.aspx	https://www.arlo.com/en-us/about/privacy-policy/?cid=a
51	arnoo	http://www.arnoo.com/	None
52	arraylock	https://www.arraylock.com/	https://hamptonproducts.com/home/privacy
53	asakuki	http://www.asakuki.com/	None
54	atlantic-comfort	https://www.atlantic-comfort.com/	None
55	atmoph	https://atmoph.com/en/	https://atmoph.myshopify.com/policies/privacy-policy
56	atom8	https://www.atom8.tech/	None
57	august	https://august.com/	https://august.com/pages/privacy-policy
58	auraconnect	https://auraconnect.imi-hydronic.com/de/	http://auraconnect.imi-hydronic.com/de/datenschutzerklaerung/
59	auroralighting	https://auroralighting.com/gb/aone	https://auroralighting.com/gb/privacy-policy
60	automatic	https://automatic.com/	https://automatic.com/legal
61	avi-on	https://avi-on.com/	https://avi-on.com/privacy-policy/
62	avidsen	https://www.avidsen.com/	None
63	getawair	https://getawair.com/	https://getawair.com/pages/legal
64	ayllo	https://www.ayllo.com/	None
65	kyla	http://kyla.aztech.com/	http://kyla.aztech.com/privacy.html
66	bardi	https://bardi.co.id/	None
67	bayithomeautomation	http://www.bayithomeautomation.com/	None
68	bazzsmarthome	https://www.bazzsmarthome.com/	https://www.bazzsmarthome.com/pages/privacy-policy-of-bazz-smart-home-platform
69	belkin	https://www.belkin.com/us/	https://www.belkin.com/us/privacypolicy/
70	besense-iot	http://besense-iot.com/	None
71	beseye	https://www.beseye.com/us/home	None
72	smarthome	https://smarthome.bkav.com/	None
73	blastbot	https://blastbot.io/en/	https://blastbot.io/es/politicas-de-privacidad
74	blebox	https://blebox.eu/?lang=en	None
75	blinkforhome	https://blinkforhome.com/	https://blinkforhome.co.uk/pages/privacy-policy
76	blitzwolf	https://www.blitzwolf.com/	https://www.blitzwolf.com/Privacy-Policy-a-25.html
77	bloomsky	http://www.bloomsky.com/	http://www.bloomsky.com/legal/privacy/
78	bluelux	https://www.bluelux.com.br/	https://www.bluelux.com.br/politica-de-privacidade/
79	bluesound	https://www.bluesound.com/	https://www.bluesound.com/privacy-policy/
80	bobsweep	https://www.bobsweep.com/	https://www.bobsweep.com/privacy-policy
81	bocco	https://www.bocco.me/en/	None
82	bondhome	https://bondhome.io/	https://bondhome.io/privacy-policy/
83	bosch	https://www.bosch.com/	https://www.bosch.com/data-protection-notice/?prevent-auto-open-privacy-settings=1
84	bosmasmarthome	https://www.bosmasmarthome.com/	https://www.bosmasmarthome.com/privacy-policy/
85	bouncie	https://www.bouncie.com/	https://www.bouncie.com/terms-of-use
86	braumm	http://www.braumm.com/	http://www.braumm.com/privacy/
87	brilia	https://brilia.com/	None
88	bebrilli	https://www.bebrilli.com/	https://www.bebrilli.com/pages/privacy-policy
89	brilliant	https://www.brilliant.tech/	https://www.brilliant.tech/pages/privacy-statement-for-brilliant-products-and-services|https://www.brilliant.tech/pages/privacy-policy-for-brilliant-web-sites
90	brilong	https://www.brilong.com/	None
91	ibroadlink	http://www.ibroadlink.com/	http://www.ibroadlink.com/privacy
92	buildtrack	https://www.buildtrack.in/	https://www.buildtrack.in/privacy-policy
93	caavo	https://caavo.com/	https://caavo.com/pages/privacy
94	calex	https://www.calex.nl/en/	https://www.calex.nl/privacy-statement/
95	canary	https://canary.is/	https://canary.is/legal/privacy-policy/
96	carbontrack	https://carbontrack.com.au/	https://carbontrack.com.au/legal/privacy-policy/
97	carrier	https://www.carrier.com/carrier/en/worldwide/?location=us	https://www.carrier.com/carrier/en/worldwide/legal/privacy-notice/
98	carrohome	https://carrohome.com/	None
99	centralite	https://centralite.com/	None
100	chacon	https://chacon.com/en/	https://chacon.com/fr/content/13-respect-de-la-vie-privee
101	champontech	http://www.champontech.com/	None
102	choetech	http://www.choetech.com/	https://www.choetech.com/about/privacy_policy.html
103	clova	https://clova.ai/ko	None
104	cnctlife	https://cnctlife.com/	https://cnctlife.com/privacy
105	cnsunwaylighting	http://www.cnsunwaylighting.com/	None
106	cocoonproducts	https://cocoonproducts.com.au/	https://cocoonproducts.com.au/information/#tab3
107	cogcons	https://www.cogcons.com/	None
108	collingwoodlighting	https://www.collingwoodlighting.com/	https://www.collingwoodlighting.com/privacy-policy-cookie-restriction-mode
109	comfortclick	https://www.comfortclick.com/	https://www.comfortclick.com/Files/Legal/Privacy.html
110	commax	https://www.commax.com/eng/	None
111	conico	https://www.conico.com/	None
112	ultrha	https://ultrha.com/configurator	https://ultrha.com/privacy
113	connectiviot	https://www.connectiviot.com/	None
114	iot	https://iot.connectsense.com/	None
115	control4	https://www.control4.com/	https://www.snapav.com/shop/en/snapav/legal
116	controlicz	https://www.controlicz.com/	https://www.controlicz.com/#privacy
117	coolmasternet	http://www.coolmasternet.co.uk/	None
118	coolqiya	https://www.coolqiya.com/	None
119	coolremote	https://coolremote.net/	None
120	coowootech	http://www.coowootech.com/	None
121	coqon	https://shop.mein-coqon.de/	https://shop.mein-coqon.de/datenschutz
122	coredy	https://shop.coredy.com/	https://shop.coredy.com/pages/privacy-policy
123	cosesy	http://www.cosesy.com/	None
124	covesmart	https://www.covesmart.com/	https://www.covesmart.com/privacy-policy
125	crescent-ventures	https://www.crescent-ventures.com/	https://www.crescent-ventures.com/legal/
126	cuby	http://cuby.mx/	None
127	curv360	https://www.curv360.com/	https://www.curv360.com/wp-content/themes/curv360/assets/pdf/privacypolicy.pdf
128	daisy	http://daisy.si/	None
129	dalslighting	http://www.dalslighting.com/en	None
130	intl	https://intl.danale.com/	None
131	danalock	https://danalock.com/	https://danalock.com/legal/privacy-policy/
132	danfoss	https://www.danfoss.com/en-us/	https://www.danfoss.com/en/terms/privacy/
133	deako	https://www.deako.com/	https://www.deako.com/legal/
134	definics	https://www.definics.com/	None
135	depstech	https://www.depstech.com/	https://www.depstech.com/privacy-policy
136	devolo	https://www.devolo.com/	https://www.devolo.com/support/data-privacy
137	dewenwils	http://www.dewenwils.com/	None
138	digitalstrom	https://www.digitalstrom.com/en/	None
139	dolamee	http://www.dolamee.com/	https://www.doorbird.com/privacy-policy
140	dovado	https://www.dovado.com/	None
141	dune-hd	https://www.dune-hd.com/	None
142	duuxstore	https://www.duuxstore.com/	https://duuxstore.com/en/privacy-statement/
143	dwelo	https://www.dwelo.com/	https://www.dwelo.com/privacy-policy
144	dyson	https://www.dyson.com/en.html	https://privacy.dyson.com/en/homepage.aspx
145	eastech	https://www.eastech.com/	https://eastech.com/privacy-policy
146	eaton	https://www.eaton.com/us/en-us.html	https://www.eaton.com/us/en-us/company/policies-and-statements/privacy-cookies-and-data-protection.html
147	eco4lifehome	https://eco4lifehome.com/	https://eco4lifehome.com/pages/privacy-policy-1
148	ecobee	https://www.ecobee.com/	https://www.ecobee.com/legal/use/
149	discoverecolink	https://discoverecolink.com/	https://discoverecolink.com/privacy-policy/
150	econetcontrols	https://www.econetcontrols.com/	None
151	ecovacs	http://www.ecovacs.com/us/home/	http://www.ecovacs.com/us/privacy-policy/
152	edensmarthomes	https://edensmarthomes.com/	None
153	edimax	https://www.edimax.com/edimax/global/	None
154	ednet-europe	https://www.ednet-europe.eu/	https://www.ednet-europe.eu/en/footer/data-protection/
155	eecoonline	https://eecoonline.com/	https://eecoonline.com/privacy-policy/
156	eedomus	https://www.eedomus.com/en/	None
157	eeekit	https://eeekit.com/	https://eeekit.com/privacy-and-policy/
158	eero	https://eero.com/	https://eero.com/legal/privacy
159	efergy	https://efergy.com/	https://efergy.com/privacy-policy/
160	egardia	https://www.egardia.com/en	https://www.egardia.com/en/privacy-statement
161	wmyeglu	http://wwww.myeglu.com/	None
162	ekz	https://www.ekz.ch/de/private.html	https://www.elinksmart.net/privacy-policy/
163	elepowstar	http://elepowstar.com/	None
164	elzoneta	https://www.elzoneta.com/	https://www.systemalarm.net/privacy-policy.html
165	emyloworld	http://www.emyloworld.com/	https://www.enocean.com/en/privacy-policy/
166	epickatech	https://www.epickatech.com/	None
167	equeshome	https://equeshome.com/	https://equeshome.com/pages/privacy-policy
168	essence-grp	https://www.essence-grp.com/	https://www.essence-grp.com/page/privacy
169	estevez	http://www.estevez.com.mx/	http://www.estevez.com.mx/aviso-de-privacidad
170	eufylife	https://www.eufylife.com/	https://www.eufylife.com/privacy-policy
171	evapolar	https://evapolar.com/all-products/	https://evapolar.com/privacy-policy
172	myeverlights	https://myeverlights.com/	https://myeverlights.com/privacy-policy/
173	theevohomeshop	https://theevohomeshop.co.uk/	https://theevohomeshop.co.uk/content/2-privacy-policy
174	ewelink	http://www.ewelink.cc/	None
175	iexpower	http://www.iexpower.com/	None
176	eye4smart	http://www.eye4smart.com/	None
177	ezvizlife	https://www.ezvizlife.com/us	https://www.ezvizlife.com/us/legal/privacy-policy
178	fanimation	https://www.fanimation.com/	https://www.fanimation.com/privacy-policy/
179	fbsmarthome	https://www.fbsmarthome.site/	https://www.fbsmarthome.site/
180	feicanled	http://www.feicanled.com/	http://www.feicanled.com/privacy.html
181	fibaro	https://www.fibaro.com/en/	https://www.fibaro.com/en/privacy-policy/
182	fing	https://www.fing.com/	https://www.fing.com/fing-privacy-policy
183	fireboard	https://www.fireboard.com/	https://www.fireboard.com/privacy
184	firefly-home	https://firefly-home.io/	https://firefly-home.io/privacy
185	firstalert	https://www.firstalert.com/	https://www.firstalert.com/legal-privacy/
186	fitbit	https://www.fitbit.com/us/home	https://www.fitbit.com/us/legal/privacy-policy
187	flair	https://flair.co/	https://s3.amazonaws.com/assets2.flair.co/Public+Documents/FLAIR+PRIVACY+POLICY.pdf
188	flic	https://flic.io/	https://flic.io/privacy-policy
189	floureon	https://www.floureon.com/	https://www.floureon.com/pages/privacy-policy
190	fluxsmartlighting	https://www.fluxsmartlighting.com/	https://www.fluxsmartlighting.com/pages/privacy-policy
191	foobot	https://foobot.io/	https://foobot.io/privacy/
192	forgu	http://www.forgu.de/	http://www.forgu.de/datenschutz.html
193	forrinx	http://www.forrinx.com/	None
194	fortrezz	https://www.fortrezz.com/	None
195	freedompro	https://freedompro.eu/	https://freedompro.eu/privacy-policy/
196	friedrich	https://www.friedrich.com/	https://www.friedrich.com/privacy-policy
197	frigidaire	https://www.frigidaire.com/	https://www.frigidaire.com/Privacy-Policy/
198	fudasea	http://www.fudasea.com/	None
199	shopus	https://shopus.furbo.com/	https://shopus.furbo.com/pages/privacy-policy
200	futurehome	https://futurehome.no/	https://support.futurehome.no/hc/no/articles/360001096146-Personvernerkl%C3%A6ring
201	garadget	https://www.garadget.com/	https://www.garadget.com/about/privacy-policy/
202	garador	https://www.garador.co.uk/	https://www.garador.co.uk/privacy.aspx
203	garageio	https://garageio.com/	https://garageio.com/legal
204	gardena	https://www.gardena.com/ca-en/	https://www.gardena.com/ca-en/privacy-cookies/
205	garzasmarthome	http://www.garzasmarthome.com/	https://rule.alibaba.com/rule/detail/2034.htm
206	geappliances	https://www.geappliances.com/	https://www.geappliances.com/privacy/privacy_policy.htm|https://www.geappliances.com/privacy/california_privacy_notice.htm
207	geeklink	https://geeklink.en.alibaba.com/	https://rule.alibaba.com/rule/detail/2034.htm?spm=a2700.icbuShop.0.0.3502c501C66G26
208	geosmartpro	https://www.geosmartpro.com/	https://www.geosmartpro.com/privacy-and-cookies-policy
209	gidbo	https://gidbo.com/	https://gidbo.com/pages/privacy
210	gira	https://www.gira.com/en/land.html	https://www.gira.com/en/impressum/datenschutz.html
211	gosmarthomeplus	https://www.gosmarthomeplus.com/	None
212	gocontrol	https://www.gocontrol.com/	https://www.nortekcontrol.com/legal/privacy-policy/
213	gogogate	https://www.gogogate.com/	https://www.gogogate.com/privacy/
214	gosund	https://www.gosund.store/	https://www.gosund.store/pages/privacy-policy
215	govee	https://www.govee.com/	https://www.govee.com/privacy?language=EN
216	greendot	https://greendot.tech/	None
217	greenliteusa	http://www.greenliteusa.com/	None
218	gogriddy	https://www.gogriddy.com/	https://www.gogriddy.com/privacy-policy/
219	grouplotse	https://grouplotse.com/	https://grouplotse.com/datenschutz/
220	growatt-america	https://www.growatt-america.com/	None
221	szguanke	https://www.szguanke.com/	None
222	gynoid	http://www.gynoid.life/	None
223	myharmony	https://support.myharmony.com/en-us/	https://www.logitech.com/en-us/legal/web-privacy-policy.html
224	home-assistant	https://www.home-assistant.io/hassio/	https://www.home-assistant.io/privacy/
225	haverland	https://haverland.com/	https://haverland.com/avisolegal/
226	hdlautomation	http://www.hdlautomation.com/	None
227	heatmiser	https://www.heatmiser.com/en/	https://www.heatmiser.com/en/privacy-policy/
228	heatzy	https://heatzy.com/	None
229	helea	https://www.helea.in/	https://www.helea.in/privacy-policy
230	hitechsmarthomes	https://hitechsmarthomes.com/	https://www.hihome.eu/en/service/privacy-policy/
231	hihome	https://www.hihome.eu/en/	https://www.hihome.eu/en/service/privacy-policy/|https://www.hihome.eu/en/service/privacy-policy-hihome-smart-app/
232	hikvision	http://www.hikvision.com/	https://us.hikvision.com/en/support-resources/privacy-policy
233	hiposmart	https://www.hiposmart.com/	https://www.hiposmart.com/privacy-policy
234	hombli	https://www.hombli.com/	https://www.hombli.com/privacy/
235	home8alarm	https://www.home8alarm.com/	https://www.home8alarm.com/privacy
236	hom	https://hom.ee/	https://hom.ee/privacy
237	apple	https://www.apple.com/ios/home/	https://www.apple.com/privacy/
238	homematic-ip	https://www.homematic-ip.com/en/smart-home.html	https://www.homematic-ip.com/kontakt/datenschutz.html|https://www.homematic-ip.com/kontakt/datenschutz/datenschut-homematic-ip-smartphone-app.html
239	homemaxs	http://homemaxs.com/	None
240	homeseer	https://homeseer.com/	https://homeseer.com/privacy-policy/
241	homewizard	https://www.homewizard.com/	https://www.homewizard.com/privacy
242	homey	https://homey.app/en-us/	https://legal.athom.com/?document=privacy-policy&language=en
243	homismart	https://www.homismart.com/	None
244	honeywellhome	https://www.honeywellhome.com/	https://www.resideo.com/privacy
245	howz	https://howz.com/	https://howz.com/pages/howz-privacy-policy
246	hubbleconnected	https://hubbleconnected.com/	https://hubbleconnected.com/privacy
247	hubitat	https://hubitat.com/	https://hubitat.com/pages/privacy-policy
248	www2	https://www2.meethue.com/en-us	https://www2.meethue.com/en-us/support/privacy-policy
249	hydrawise	https://www.hydrawise.com/	http://www.hunterindustries.com/privacy-policy
250	hyperionsilverlake	https://www.hyperionsilverlake.com/smart-home	None
251	iaqualink	https://www.iaqualink.com/en	https://www.fluidrausa.com/en/legal
252	idevicesinc	https://idevicesinc.com/	https://idevicesinc.com/privacy/
253	ifbappliances	https://www.ifbappliances.com/	https://www.ifbappliances.com/privacy-policy/
254	ifttt	https://ifttt.com/	https://ifttt.com/terms
255	ihaper	https://www.ihaper.com/	None
256	ihas	https://ihas.com.au/	https://ihas.com.au/privacy-policy-1
257	ihomeaudio	https://www.ihomeaudio.com/	https://www.ihomeaudio.com/privacy_policy/
258	ikea	https://www.ikea.com/	https://about.ikea.com/en/IKEA-policies/IKEA-Gateway-cookie-statement
259	ilevia	http://www.ilevia.com/	http://www.ilevia.com/privacy-policy/
260	ilumi	https://ilumi.co/	https://ilumi.co/pages/privacy
261	imoulife	https://www.imoulife.com/	https://www.imoulife.com/product/detail/Ranger2
262	imperihome	https://imperihome.com/	https://imperihome.com/privacy/
263	iam	https://iam.innogy.com/ueber-innogy	https://www.innogy.com/web/cms/de/3068482/home/datenschutz/
264	insteon	https://www.insteon.com/	https://www.insteon.com/privacy
265	intesishome	https://www.intesishome.com/	https://www.intesis.com/down/intesis/privacy_policy.pdf
266	iobroker	https://www.iobroker.net/	https://www.iobroker.net/#en/privacy
267	iotiq	http://iotiq.co.in/	http://iotiq.co.in/privacypolicy.html
268	iottysmarthome	https://iottysmarthome.com/	https://iottysmarthome.com/policies/privacy-policy
269	irisbylowes	https://www.irisbylowes.com/	https://www.irisbylowes.com/privacy-statement/
270	irobot	https://www.irobot.com/	https://www.irobot.com/legal/privacy-policy
271	ismartalarm	https://www.ismartalarm.com/	https://www.ismartalarm.com/info/privacyinfo
272	ithingshop	https://ithingshop.com/smart-home/	https://ithingshop.com/privacy-policy/
273	ivideon	https://www.ivideon.com/	None
274	iviewus	http://www.iviewus.com/index.php/smart-devices-smart-bulbs-sockets-robot-vacuums-wears-accessories-mini-pc/home.html	http://www.iviewus.com/index.php/privacy-policy-cookie-restriction-mode-eng
275	izone	https://izone.com.au/	https://izone.com.au/legal/
276	byjasco	https://byjasco.com/	https://byjasco.com/privacy-policy/
277	jellyfishtur	http://www.jellyfishtur.com/	None
278	jinvoo-smart	https://jinvoo-smart.soft112.com/	https://www.soft112.com/policy.html
279	joeaispro	https://joeaispro.com/	None
280	nbkafo	http://www.nbkafo.com/	None
281	kaiterra	https://www.kaiterra.com/en/index/	https://support.kaiterra.com/privacy-policy-for-kaiterra-web-sites-global
282	kasiahome	http://www.kasiahome.com/	http://www.kasiahome.com/legal
283	kenmore	https://www.kenmore.com/	https://www.kenmore.com/privacy-policy/
284	ketra	https://www.ketra.com/	http://www.lutron.com/en-US/Pages/PrivacyNotice.aspx#start/home?Key=LutronPrivacyPolicy&p=2
285	thekeywe	http://thekeywe.com/	None
286	kitchenhoney	https://kitchenhoney.automationhome.net/	https://www.automationhome.net/privacy-policy.html
287	kiwi-smartek	http://www.kiwi-smartek.com/	None
288	kkmoon	https://www.kkmoon.com/	https://www.kkmoon.com/privacy-policy.html
289	klearusa	https://www.klearusa.com/products/klear-smart-plug	None
290	klikaanklikuit	https://www.klikaanklikuit.nl/	https://www.klikaanklikuit.nl/nl/privacy/
291	knocki	https://knocki.com/	https://knocki.com/pages/privacy-policy
292	kohler	https://www.us.kohler.com/us/	https://www.us.kohler.com/us/Privacy-Policy/content/privacypolicyen.htm
293	konnected	https://konnected.io/	https://konnected.io/pages/privacy-policy
294	koogeek	https://www.koogeek.com/	https://www.koogeek.com/privacy-policy.html
295	kronaby	https://us.kronaby.com/	https://us.kronaby.com/content/index.php?id_cms=11&controller=cms
